,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
12,-0.75242,0.345485,2.057323,-1.46864,-1.15839,-0.07785,-0.60858,0.003603,-0.43617,0.747731,-0.79398,-0.77041,1.047627,-1.0666,1.106953,1.660114,-0.27927,-0.41999,0.432535,0.263451,0.499625,1.35365,-0.25657,-0.06508,-0.03912,-0.08709,-0.181,0.129394,15.99,0
12,1.103215,-0.0403,1.267332,1.289091,-0.736,0.288069,-0.58606,0.18938,0.782333,-0.26798,-0.45031,0.936708,0.70838,-0.46865,0.354574,-0.24663,-0.00921,-0.59591,-0.57568,-0.11391,-0.02461,0.196002,0.013802,0.103758,0.364298,-0.38226,0.092809,0.037051,12.99,0
13,-0.43691,0.918966,0.924591,-0.72722,0.915679,-0.12787,0.707642,0.087962,-0.66527,-0.73798,0.324098,0.277192,0.252624,-0.2919,-0.18452,1.143174,-0.92871,0.68047,0.025436,-0.04702,-0.1948,-0.67264,-0.15686,-0.88839,-0.34241,-0.04903,0.079692,0.131024,0.89,0
14,-5.40126,-5.45015,1.186305,1.736239,3.049106,-1.76341,-1.55974,0.160842,1.23309,0.345173,0.91723,0.970117,-0.26657,-0.47913,-0.52661,0.472004,-0.72548,0.075081,-0.40687,-2.19685,-0.5036,0.98446,2.458589,0.042119,-0.48163,-0.62127,0.392053,0.949594,46.8,0
15,1.492936,-1.02935,0.454795,-1.43803,-1.55543,-0.72096,-1.08066,-0.05313,-1.97868,1.638076,1.077542,-0.63205,-0.41696,0.052011,-0.04298,-0.16643,0.304241,0.554432,0.05423,-0.38791,-0.17765,-0.17507,0.040002,0.295814,0.332931,-0.22038,0.022298,0.007602,5,0
16,0.694885,-1.36182,1.029221,0.834159,-1.19121,1.309109,-0.87859,0.44529,-0.4462,0.568521,1.019151,1.298329,0.42048,-0.37265,-0.80798,-2.04456,0.515663,0.625847,-1.30041,-0.13833,-0.29558,-0.57196,-0.05088,-0.30421,0.072001,-0.42223,0.086553,0.063499,231.71,0
17,0.962496,0.328461,-0.17148,2.109204,1.129566,1.696038,0.107712,0.521502,-1.19131,0.724396,1.69033,0.406774,-0.93642,0.983739,0.710911,-0.60223,0.402484,-1.73716,-2.02761,-0.26932,0.143997,0.402492,-0.04851,-1.37187,0.390814,0.199964,0.016371,-0.01461,34.09,0
18,1.166616,0.50212,-0.0673,2.261569,0.428804,0.089474,0.241147,0.138082,-0.98916,0.922175,0.744786,-0.53138,-2.10535,1.12687,0.003075,0.424425,-0.45448,-0.09887,-0.8166,-0.30717,0.018702,-0.06197,-0.10385,-0.37042,0.6032,0.108556,-0.04052,-0.01142,2.28,0
18,0.247491,0.277666,1.185471,-0.0926,-1.31439,-0.15012,-0.94636,-1.61794,1.544071,-0.82988,-0.5832,0.524933,-0.45338,0.081393,1.555204,-1.39689,0.783131,0.436621,2.177807,-0.23098,1.65018,0.200454,-0.18535,0.423073,0.820591,-0.22763,0.336634,0.250475,22.75,0
22,-1.94653,-0.0449,-0.40557,-1.01306,2.941968,2.955053,-0.06306,0.855546,0.049967,0.573743,-0.08126,-0.21575,0.044161,0.033898,1.190718,0.578843,-0.97567,0.044063,0.488603,-0.21672,-0.57953,-0.79923,0.8703,0.983421,0.321201,0.14965,0.707519,0.0146,0.89,0
22,-2.07429,-0.12148,1.322021,0.410008,0.295198,-0.95954,0.543985,-0.10463,0.475664,0.149451,-0.85657,-0.18052,-0.65523,-0.2798,-0.21167,-0.33332,0.010751,-0.48847,0.505751,-0.38669,-0.40364,-0.2274,0.742435,0.398535,0.249212,0.274404,0.359969,0.243232,26.43,0
23,1.173285,0.353498,0.283905,1.133563,-0.17258,-0.91605,0.369025,-0.32726,-0.24665,-0.04614,-0.14342,0.97935,1.492285,0.101418,0.761478,-0.01458,-0.51164,-0.32506,-0.39093,0.027878,0.067003,0.227812,-0.15049,0.435045,0.724825,-0.33708,0.016368,0.030041,41.88,0
23,1.322707,-0.17404,0.434555,0.576038,-0.83676,-0.83108,-0.2649,-0.22098,-1.07142,0.868559,-0.64151,-0.11132,0.361485,0.171945,0.782167,-1.35587,-0.21694,1.271765,-1.24062,-0.52295,-0.28438,-0.32336,-0.03771,0.347151,0.559639,-0.28016,0.042335,0.028822,16,0
23,-0.41429,0.905437,1.727453,1.473471,0.007443,-0.20033,0.740228,-0.02925,-0.59339,-0.34619,-0.01214,0.786796,0.635954,-0.08632,0.076804,-1.40592,0.775592,-0.94289,0.543969,0.097308,0.077237,0.457331,-0.0385,0.642522,-0.18389,-0.27746,0.182687,0.152665,33,0
